--- DANH SÁCH DOGS (SẢN PHẨM LỖI - XEM XÉT LOẠI BỎ) ---

 - HanoiStreet UC-62 | Tệp LTV: $36,814 | Bán ra: 370 cái | Lợi nhuận: $885,132
 - PhoenixWear UC-08 | Tệp LTV: $29,448 | Bán ra: 115 cái | Lợi nhuận: $-145,682
 - HanoiStreet UE-08 | Tệp LTV: $29,809 | Bán ra: 238 cái | Lợi nhuận: $-147,592
 - HanoiStreet UR-28 | Tệp LTV: $29,651 | Bán ra: 328 cái | Lợi nhuận: $-152,213
 - VietMode RP-73 | Tệp LTV: $31,707 | Bán ra: 353 cái | Lợi nhuận: $-154,831
 - BambooCraft UC-18 | Tệp LTV: $34,069 | Bán ra: 217 cái | Lợi nhuận: $-157,476
 - HanoiStreet UM-19 | Tệp LTV: $24,931 | Bán ra: 365 cái | Lợi nhuận: $-157,497
 - HanoiStreet UC-05 | Tệp LTV: $31,087 | Bán ra: 428 cái | Lợi nhuận: $-166,291
 - LotusWear UE-04 | Tệp LTV: $37,887 | Bán ra: 362 cái | Lợi nhuận: $-170,128
 - MekongFit UE-34 | Tệp LTV: $36,294 | Bán ra: 443 cái | Lợi nhuận: $-170,324
 - UrbanVN UC-20 | Tệp LTV: $28,935 | Bán ra: 323 cái | Lợi nhuận: $-172,259
 - PhoenixWear UC-13 | Tệp LTV: $31,081 | Bán ra: 368 cái | Lợi nhuận: $-173,255
 - MekongFit UC-23 | Tệp LTV: $30,451 | Bán ra: 248 cái | Lợi nhuận: $-182,554
 - LotusWear UR-08 | Tệp LTV: $27,790 | Bán ra: 509 cái | Lợi nhuận: $-184,903
 - UrbanVN UC-22 | Tệp LTV: $30,635 | Bán ra: 421 cái | Lợi nhuận: $-185,645
 - DragonWear UM-13 | Tệp LTV: $17,997 | Bán ra: 189 cái | Lợi nhuận: $-188,225
 - LotusWear UE-06 | Tệp LTV: $28,549 | Bán ra: 218 cái | Lợi nhuận: $-192,571
 - SaigonFlex UC-34 | Tệp LTV: $38,028 | Bán ra: 211 cái | Lợi nhuận: $-196,710
 - SaigonCore UE-21 | Tệp LTV: $33,562 | Bán ra: 394 cái | Lợi nhuận: $-197,305
 - MekongFit UM-04 | Tệp LTV: $32,104 | Bán ra: 400 cái | Lợi nhuận: $-199,418
 - BambooCraft UC-17 | Tệp LTV: $37,632 | Bán ra: 271 cái | Lợi nhuận: $-204,236
 - LotusWear UE-68 | Tệp LTV: $17,583 | Bán ra: 80 cái | Lợi nhuận: $-216,836
 - SaigonFlex UM-88 | Tệp LTV: $14,018 | Bán ra: 58 cái | Lợi nhuận: $-223,864
 - DragonWear UE-05 | Tệp LTV: $32,808 | Bán ra: 167 cái | Lợi nhuận: $-234,762
 - SaigonFlex UM-49 | Tệp LTV: $9,145 | Bán ra: 65 cái | Lợi nhuận: $-263,898
 - SaigonCore UM-04 | Tệp LTV: $23,619 | Bán ra: 239 cái | Lợi nhuận: $-265,198
 - SaigonFlex UC-32 | Tệp LTV: $38,495 | Bán ra: 400 cái | Lợi nhuận: $-268,214
 - SaigonFlex UC-05 | Tệp LTV: $23,616 | Bán ra: 286 cái | Lợi nhuận: $-277,065
 - MekongFit UE-13 | Tệp LTV: $34,392 | Bán ra: 514 cái | Lợi nhuận: $-289,102
 - LotusWear UE-55 | Tệp LTV: $16,154 | Bán ra: 117 cái | Lợi nhuận: $-295,666
 - BambooCraft UM-06 | Tệp LTV: $30,995 | Bán ra: 472 cái | Lợi nhuận: $-296,934
 - PhoenixWear UM-07 | Tệp LTV: $30,052 | Bán ra: 476 cái | Lợi nhuận: $-324,865
 - HanoiStreet UC-12 | Tệp LTV: $26,250 | Bán ra: 209 cái | Lợi nhuận: $-336,148
 - LotusWear UE-56 | Tệp LTV: $34,260 | Bán ra: 331 cái | Lợi nhuận: $-358,927
 - LotusWear UE-42 | Tệp LTV: $29,189 | Bán ra: 400 cái | Lợi nhuận: $-399,560
 - LotusWear UE-01 | Tệp LTV: $38,652 | Bán ra: 502 cái | Lợi nhuận: $-411,361
 - VietMode UE-12 | Tệp LTV: $29,535 | Bán ra: 359 cái | Lợi nhuận: $-461,269
 - SaigonFlex UM-13 | Tệp LTV: $18,136 | Bán ra: 237 cái | Lợi nhuận: $-479,245
 - LotusWear UC-02 | Tệp LTV: $28,196 | Bán ra: 347 cái | Lợi nhuận: $-579,795
 - HanoiStreet UC-34 | Tệp LTV: $26,686 | Bán ra: 506 cái | Lợi nhuận: $-1,519,573
