--- DANH SÁCH CASH COWS (SẢN PHẨM MỒI/VẮT SỮA) ---

 - HanoiStreet UC-28 | Tệp LTV: $38,002 | Bán ra: 9,531 cái | Lợi nhuận: $13,869,153
 - VietMotion UE-15 | Tệp LTV: $37,045 | Bán ra: 794 cái | Lợi nhuận: $-369,397
 - PhoenixWear UM-03 | Tệp LTV: $35,792 | Bán ra: 883 cái | Lợi nhuận: $-379,037
 - SaigonFlex UC-56 | Tệp LTV: $36,540 | Bán ra: 1,682 cái | Lợi nhuận: $-380,189
 - VietMode RP-87 | Tệp LTV: $36,576 | Bán ra: 1,646 cái | Lợi nhuận: $-383,660
 - HanoiStreet UC-03 | Tệp LTV: $32,556 | Bán ra: 774 cái | Lợi nhuận: $-397,145
 - MekongFit UC-05 | Tệp LTV: $29,005 | Bán ra: 2,798 cái | Lợi nhuận: $-397,591
 - MekongFit UM-19 | Tệp LTV: $38,337 | Bán ra: 1,150 cái | Lợi nhuận: $-405,766
 - VietMotion MA-13 | Tệp LTV: $31,650 | Bán ra: 4,567 cái | Lợi nhuận: $-406,679
 - UrbanVN RP-39 | Tệp LTV: $35,976 | Bán ra: 4,621 cái | Lợi nhuận: $-416,271
 - VietMotion MA-06 | Tệp LTV: $33,866 | Bán ra: 3,566 cái | Lợi nhuận: $-417,924
 - SaigonFlex UC-10 | Tệp LTV: $36,823 | Bán ra: 2,128 cái | Lợi nhuận: $-419,174
 - SaigonFlex UM-20 | Tệp LTV: $35,575 | Bán ra: 1,876 cái | Lợi nhuận: $-426,460
 - UrbanVN RP-40 | Tệp LTV: $35,244 | Bán ra: 4,715 cái | Lợi nhuận: $-438,866
 - SaigonFlex UE-19 | Tệp LTV: $36,612 | Bán ra: 1,026 cái | Lợi nhuận: $-449,788
 - UrbanVN UC-29 | Tệp LTV: $26,944 | Bán ra: 1,121 cái | Lợi nhuận: $-453,146
 - UrbanVN RP-17 | Tệp LTV: $29,841 | Bán ra: 3,454 cái | Lợi nhuận: $-458,121
 - HanoiStreet RP-13 | Tệp LTV: $33,145 | Bán ra: 9,092 cái | Lợi nhuận: $-475,011
 - HanoiStreet RP-14 | Tệp LTV: $33,685 | Bán ra: 9,259 cái | Lợi nhuận: $-485,930
 - HanoiStreet UE-17 | Tệp LTV: $33,206 | Bán ra: 3,280 cái | Lợi nhuận: $-533,027
 - DragonWear UM-33 | Tệp LTV: $24,934 | Bán ra: 577 cái | Lợi nhuận: $-534,198
 - MekongFit RP-08 | Tệp LTV: $37,930 | Bán ra: 5,156 cái | Lợi nhuận: $-548,558
 - HanoiStreet UE-19 | Tệp LTV: $35,729 | Bán ra: 5,716 cái | Lợi nhuận: $-548,894
 - DragonWear UR-36 | Tệp LTV: $29,798 | Bán ra: 778 cái | Lợi nhuận: $-564,642
 - SaigonFlex UC-51 | Tệp LTV: $34,632 | Bán ra: 2,532 cái | Lợi nhuận: $-566,509
 - UrbanVN RS-01 | Tệp LTV: $36,959 | Bán ra: 4,376 cái | Lợi nhuận: $-610,506
 - MekongFit UM-18 | Tệp LTV: $25,253 | Bán ra: 642 cái | Lợi nhuận: $-623,241
 - SaigonFlex UM-42 | Tệp LTV: $31,508 | Bán ra: 993 cái | Lợi nhuận: $-625,251
 - UrbanVN MA-17 | Tệp LTV: $37,660 | Bán ra: 3,598 cái | Lợi nhuận: $-627,483
 - VietMotion UE-01 | Tệp LTV: $34,880 | Bán ra: 1,483 cái | Lợi nhuận: $-648,949
 - MekongFit RP-23 | Tệp LTV: $36,158 | Bán ra: 2,990 cái | Lợi nhuận: $-649,481
 - SaigonFlex UC-66 | Tệp LTV: $37,313 | Bán ra: 662 cái | Lợi nhuận: $-659,382
 - VietMotion UC-11 | Tệp LTV: $30,045 | Bán ra: 713 cái | Lợi nhuận: $-681,314
 - UrbanVN UC-11 | Tệp LTV: $27,418 | Bán ra: 1,064 cái | Lợi nhuận: $-700,783
 - SaigonFlex UM-33 | Tệp LTV: $38,132 | Bán ra: 1,680 cái | Lợi nhuận: $-701,234
 - UrbanVN MA-13 | Tệp LTV: $33,001 | Bán ra: 5,227 cái | Lợi nhuận: $-704,841
 - DragonWear UE-11 | Tệp LTV: $37,223 | Bán ra: 1,459 cái | Lợi nhuận: $-713,438
 - BambooCraft UC-08 | Tệp LTV: $35,207 | Bán ra: 1,719 cái | Lợi nhuận: $-714,171
 - VietMotion RP-52 | Tệp LTV: $33,897 | Bán ra: 12,734 cái | Lợi nhuận: $-720,355
 - VietMotion UC-29 | Tệp LTV: $32,817 | Bán ra: 1,728 cái | Lợi nhuận: $-738,245
 - VietMotion UM-01 | Tệp LTV: $33,701 | Bán ra: 1,902 cái | Lợi nhuận: $-762,989
 - SaigonCore YY-04 | Tệp LTV: $30,966 | Bán ra: 5,443 cái | Lợi nhuận: $-764,317
 - VietMotion RS-13 | Tệp LTV: $36,852 | Bán ra: 7,464 cái | Lợi nhuận: $-764,487
 - VietMotion RP-04 | Tệp LTV: $32,088 | Bán ra: 5,888 cái | Lợi nhuận: $-782,902
 - SaigonFlex UC-03 | Tệp LTV: $24,275 | Bán ra: 853 cái | Lợi nhuận: $-783,495
 - VietMotion UC-27 | Tệp LTV: $30,099 | Bán ra: 5,196 cái | Lợi nhuận: $-799,813
 - SaigonFlex UC-96 | Tệp LTV: $34,451 | Bán ra: 3,810 cái | Lợi nhuận: $-801,958
 - SaigonFlex UC-05 | Tệp LTV: $37,689 | Bán ra: 888 cái | Lợi nhuận: $-825,466
 - VietMotion UC-37 | Tệp LTV: $35,267 | Bán ra: 3,302 cái | Lợi nhuận: $-862,234
 - SaigonFlex UM-28 | Tệp LTV: $32,736 | Bán ra: 614 cái | Lợi nhuận: $-863,911
 - PhoenixWear UC-10 | Tệp LTV: $31,539 | Bán ra: 2,340 cái | Lợi nhuận: $-865,940
 - UrbanVN UC-27 | Tệp LTV: $31,589 | Bán ra: 2,755 cái | Lợi nhuận: $-895,918
 - SaigonFlex UM-02 | Tệp LTV: $26,106 | Bán ra: 778 cái | Lợi nhuận: $-909,280
 - SaigonFlex UC-91 | Tệp LTV: $27,535 | Bán ra: 546 cái | Lợi nhuận: $-943,237
 - SaigonFlex UC-36 | Tệp LTV: $32,611 | Bán ra: 2,249 cái | Lợi nhuận: $-951,083
 - HanoiStreet UE-39 | Tệp LTV: $36,172 | Bán ra: 2,155 cái | Lợi nhuận: $-956,830
 - VietMotion RS-10 | Tệp LTV: $35,344 | Bán ra: 6,222 cái | Lợi nhuận: $-1,005,421
 - UrbanVN UE-09 | Tệp LTV: $34,160 | Bán ra: 2,271 cái | Lợi nhuận: $-1,008,633
 - SaigonFlex UM-30 | Tệp LTV: $30,123 | Bán ra: 797 cái | Lợi nhuận: $-1,025,211
 - SaigonFlex UC-28 | Tệp LTV: $32,645 | Bán ra: 1,574 cái | Lợi nhuận: $-1,036,825
 - VietMotion UE-10 | Tệp LTV: $35,545 | Bán ra: 2,082 cái | Lợi nhuận: $-1,047,570
 - MekongFit UE-07 | Tệp LTV: $35,286 | Bán ra: 9,204 cái | Lợi nhuận: $-1,049,986
 - SaigonFlex UC-54 | Tệp LTV: $32,834 | Bán ra: 7,829 cái | Lợi nhuận: $-1,084,420
 - SaigonFlex UC-13 | Tệp LTV: $34,381 | Bán ra: 1,635 cái | Lợi nhuận: $-1,100,513
 - PhoenixWear UC-14 | Tệp LTV: $31,631 | Bán ra: 1,141 cái | Lợi nhuận: $-1,134,384
 - SaigonFlex UC-18 | Tệp LTV: $37,150 | Bán ra: 1,427 cái | Lợi nhuận: $-1,137,680
 - HanoiStreet UE-24 | Tệp LTV: $32,775 | Bán ra: 3,739 cái | Lợi nhuận: $-1,148,880
 - SaigonFlex UM-15 | Tệp LTV: $32,764 | Bán ra: 935 cái | Lợi nhuận: $-1,155,413
 - UrbanVN UE-16 | Tệp LTV: $30,479 | Bán ra: 5,199 cái | Lợi nhuận: $-1,160,374
 - DragonWear UM-36 | Tệp LTV: $29,015 | Bán ra: 772 cái | Lợi nhuận: $-1,161,589
 - SaigonFlex UC-49 | Tệp LTV: $29,970 | Bán ra: 1,840 cái | Lợi nhuận: $-1,163,156
 - SaigonFlex UC-56 | Tệp LTV: $36,321 | Bán ra: 1,490 cái | Lợi nhuận: $-1,240,666
 - SaigonFlex UC-35 | Tệp LTV: $31,135 | Bán ra: 2,208 cái | Lợi nhuận: $-1,252,529
 - BambooCraft UC-11 | Tệp LTV: $35,913 | Bán ra: 1,907 cái | Lợi nhuận: $-1,266,561
 - VietMotion UE-24 | Tệp LTV: $35,615 | Bán ra: 3,537 cái | Lợi nhuận: $-1,280,040
 - DragonWear MA-03 | Tệp LTV: $36,466 | Bán ra: 2,267 cái | Lợi nhuận: $-1,293,728
 - SaigonFlex UC-37 | Tệp LTV: $33,930 | Bán ra: 4,244 cái | Lợi nhuận: $-1,323,993
 - BambooCraft UM-17 | Tệp LTV: $27,201 | Bán ra: 1,349 cái | Lợi nhuận: $-1,328,230
 - SaigonFlex UM-76 | Tệp LTV: $35,559 | Bán ra: 1,630 cái | Lợi nhuận: $-1,366,190
 - HanoiStreet UM-38 | Tệp LTV: $34,418 | Bán ra: 2,625 cái | Lợi nhuận: $-1,368,876
 - UrbanVN UC-08 | Tệp LTV: $29,934 | Bán ra: 3,965 cái | Lợi nhuận: $-1,390,168
 - VietMotion UC-39 | Tệp LTV: $31,672 | Bán ra: 2,605 cái | Lợi nhuận: $-1,401,215
 - SaigonFlex UM-98 | Tệp LTV: $28,223 | Bán ra: 2,150 cái | Lợi nhuận: $-1,460,405
 - SaigonFlex UM-40 | Tệp LTV: $26,880 | Bán ra: 936 cái | Lợi nhuận: $-1,523,210
 - HanoiStreet UC-08 | Tệp LTV: $29,664 | Bán ra: 3,143 cái | Lợi nhuận: $-1,525,685
 - SaigonFlex UC-40 | Tệp LTV: $30,256 | Bán ra: 2,038 cái | Lợi nhuận: $-1,532,825
 - SaigonFlex UM-25 | Tệp LTV: $27,766 | Bán ra: 1,599 cái | Lợi nhuận: $-1,695,082
 - UrbanVN UC-02 | Tệp LTV: $32,103 | Bán ra: 2,857 cái | Lợi nhuận: $-1,742,937
 - UrbanVN UC-19 | Tệp LTV: $30,413 | Bán ra: 5,355 cái | Lợi nhuận: $-1,851,393
 - SaigonFlex UC-21 | Tệp LTV: $31,735 | Bán ra: 2,919 cái | Lợi nhuận: $-1,896,216
 - SaigonFlex UC-55 | Tệp LTV: $35,198 | Bán ra: 3,165 cái | Lợi nhuận: $-1,901,630
 - MekongFit UE-01 | Tệp LTV: $31,036 | Bán ra: 3,553 cái | Lợi nhuận: $-1,950,032
 - MekongFit MA-11 | Tệp LTV: $34,087 | Bán ra: 15,041 cái | Lợi nhuận: $-1,950,673
 - SaigonFlex UC-50 | Tệp LTV: $34,589 | Bán ra: 5,639 cái | Lợi nhuận: $-1,952,057
 - SaigonFlex UC-46 | Tệp LTV: $34,272 | Bán ra: 6,250 cái | Lợi nhuận: $-1,965,291
 - MekongFit UC-25 | Tệp LTV: $29,974 | Bán ra: 6,506 cái | Lợi nhuận: $-1,997,550
 - VietMotion RP-16 | Tệp LTV: $37,102 | Bán ra: 13,575 cái | Lợi nhuận: $-2,000,376
 - MekongFit UE-23 | Tệp LTV: $36,583 | Bán ra: 6,469 cái | Lợi nhuận: $-2,034,269
 - HanoiStreet RP-65 | Tệp LTV: $31,758 | Bán ra: 13,169 cái | Lợi nhuận: $-2,091,285
 - MekongFit UM-01 | Tệp LTV: $29,621 | Bán ra: 4,050 cái | Lợi nhuận: $-2,108,180
 - IndigoViet UM-04 | Tệp LTV: $24,260 | Bán ra: 1,975 cái | Lợi nhuận: $-2,159,101
 - VietMotion UC-09 | Tệp LTV: $30,833 | Bán ra: 3,732 cái | Lợi nhuận: $-2,229,220
 - VietMotion UM-10 | Tệp LTV: $26,982 | Bán ra: 3,504 cái | Lợi nhuận: $-2,301,019
 - HanoiStreet UC-02 | Tệp LTV: $28,862 | Bán ra: 7,545 cái | Lợi nhuận: $-2,333,890
 - HanoiStreet UC-44 | Tệp LTV: $29,183 | Bán ra: 16,343 cái | Lợi nhuận: $-2,360,732
 - HanoiStreet RP-82 | Tệp LTV: $32,165 | Bán ra: 18,652 cái | Lợi nhuận: $-2,439,762
 - SaigonFlex UM-77 | Tệp LTV: $34,614 | Bán ra: 2,995 cái | Lợi nhuận: $-2,445,185
 - VietMotion UC-02 | Tệp LTV: $30,024 | Bán ra: 8,024 cái | Lợi nhuận: $-2,557,534
 - HanoiStreet RP-50 | Tệp LTV: $36,349 | Bán ra: 17,532 cái | Lợi nhuận: $-2,674,676
 - HanoiStreet RP-49 | Tệp LTV: $36,301 | Bán ra: 17,439 cái | Lợi nhuận: $-2,712,755
 - SaigonFlex UC-15 | Tệp LTV: $33,690 | Bán ra: 7,362 cái | Lợi nhuận: $-2,804,052
 - MekongFit UE-11 | Tệp LTV: $31,897 | Bán ra: 6,611 cái | Lợi nhuận: $-2,994,067
 - VietMotion UE-05 | Tệp LTV: $37,429 | Bán ra: 22,156 cái | Lợi nhuận: $-3,055,713
 - SaigonFlex UM-01 | Tệp LTV: $36,077 | Bán ra: 15,774 cái | Lợi nhuận: $-3,155,361
 - VietMotion UC-24 | Tệp LTV: $29,744 | Bán ra: 5,441 cái | Lợi nhuận: $-3,317,033
 - HanoiStreet UC-39 | Tệp LTV: $31,221 | Bán ra: 14,204 cái | Lợi nhuận: $-3,518,786
 - SaigonFlex UM-14 | Tệp LTV: $33,771 | Bán ra: 6,233 cái | Lợi nhuận: $-3,818,880
 - MekongFit UE-18 | Tệp LTV: $32,946 | Bán ra: 29,101 cái | Lợi nhuận: $-3,827,952
 - SaigonFlex UM-54 | Tệp LTV: $33,318 | Bán ra: 14,441 cái | Lợi nhuận: $-3,835,955
 - SaigonFlex UC-41 | Tệp LTV: $32,023 | Bán ra: 9,502 cái | Lợi nhuận: $-4,086,397
 - SaigonFlex UM-66 | Tệp LTV: $29,379 | Bán ra: 3,305 cái | Lợi nhuận: $-4,099,721
 - SaigonFlex UC-45 | Tệp LTV: $33,567 | Bán ra: 5,914 cái | Lợi nhuận: $-4,112,487
 - SaigonFlex UM-37 | Tệp LTV: $35,525 | Bán ra: 7,123 cái | Lợi nhuận: $-4,871,979
 - SaigonFlex UC-64 | Tệp LTV: $29,436 | Bán ra: 6,171 cái | Lợi nhuận: $-4,960,710
 - SaigonFlex UC-22 | Tệp LTV: $32,289 | Bán ra: 7,725 cái | Lợi nhuận: $-5,221,399
 - SaigonFlex UC-16 | Tệp LTV: $30,500 | Bán ra: 12,941 cái | Lợi nhuận: $-8,314,637
 - HanoiStreet UE-16 | Tệp LTV: $33,524 | Bán ra: 18,378 cái | Lợi nhuận: $-8,571,285
 - SaigonFlex UM-01 | Tệp LTV: $33,066 | Bán ra: 11,578 cái | Lợi nhuận: $-9,409,809
 - UrbanVN UE-15 | Tệp LTV: $31,405 | Bán ra: 19,094 cái | Lợi nhuận: $-9,528,409
 - SaigonFlex UM-12 | Tệp LTV: $23,910 | Bán ra: 6,597 cái | Lợi nhuận: $-9,585,802
 - UrbanVN UE-14 | Tệp LTV: $33,012 | Bán ra: 22,227 cái | Lợi nhuận: $-10,260,113
 - HanoiStreet UE-36 | Tệp LTV: $34,797 | Bán ra: 28,291 cái | Lợi nhuận: $-11,535,155
 - SaigonFlex UM-11 | Tệp LTV: $30,954 | Bán ra: 12,911 cái | Lợi nhuận: $-12,076,345
 - SaigonFlex UM-96 | Tệp LTV: $31,401 | Bán ra: 22,248 cái | Lợi nhuận: $-14,976,172
 - HanoiStreet UM-10 | Tệp LTV: $27,668 | Bán ra: 26,180 cái | Lợi nhuận: $-20,723,642
