--- DANH SÁCH HIDDEN GEMS (KIM CƯƠNG ẨN - CẦN MARKETING) ---

 - SaigonFlex UM-99 | Tệp LTV: $51,356 | Bán ra: 513 cái | Lợi nhuận: $2,104,414
 - VietMotion RP-23 | Tệp LTV: $44,401 | Bán ra: 227 cái | Lợi nhuận: $53,368
 - UrbanVN UC-13 | Tệp LTV: $44,024 | Bán ra: 38 cái | Lợi nhuận: $52,267
 - SaigonFlex UC-79 | Tệp LTV: $42,325 | Bán ra: 149 cái | Lợi nhuận: $51,667
 - LotusWear UE-21 | Tệp LTV: $41,187 | Bán ra: 38 cái | Lợi nhuận: $51,146
 - VietMode RP-22 | Tệp LTV: $44,198 | Bán ra: 121 cái | Lợi nhuận: $50,843
 - VietMode RP-52 | Tệp LTV: $67,373 | Bán ra: 37 cái | Lợi nhuận: $50,153
 - VietMode RP-45 | Tệp LTV: $48,301 | Bán ra: 167 cái | Lợi nhuận: $48,822
 - VietMode RS-28 | Tệp LTV: $49,656 | Bán ra: 198 cái | Lợi nhuận: $45,124
 - SaigonFlex UE-20 | Tệp LTV: $42,112 | Bán ra: 185 cái | Lợi nhuận: $39,805
 - HanoiStreet UM-11 | Tệp LTV: $72,578 | Bán ra: 34 cái | Lợi nhuận: $39,617
 - PhoenixWear UM-12 | Tệp LTV: $53,446 | Bán ra: 58 cái | Lợi nhuận: $38,986
 - VietMode MP-04 | Tệp LTV: $41,446 | Bán ra: 47 cái | Lợi nhuận: $38,318
 - PhoenixWear UR-04 | Tệp LTV: $46,288 | Bán ra: 37 cái | Lợi nhuận: $36,443
 - PhoenixWear MA-03 | Tệp LTV: $40,754 | Bán ra: 274 cái | Lợi nhuận: $35,338
 - VietMode RP-42 | Tệp LTV: $41,266 | Bán ra: 72 cái | Lợi nhuận: $35,319
 - HanoiStreet UE-30 | Tệp LTV: $45,533 | Bán ra: 84 cái | Lợi nhuận: $34,270
 - VietMode RP-27 | Tệp LTV: $50,717 | Bán ra: 94 cái | Lợi nhuận: $33,390
 - SaigonFlex UC-53 | Tệp LTV: $42,966 | Bán ra: 216 cái | Lợi nhuận: $33,048
 - HanoiStreet UC-35 | Tệp LTV: $46,297 | Bán ra: 32 cái | Lợi nhuận: $32,945
 - VietMode RP-64 | Tệp LTV: $43,432 | Bán ra: 151 cái | Lợi nhuận: $32,452
 - SaigonCore UE-15 | Tệp LTV: $48,272 | Bán ra: 31 cái | Lợi nhuận: $32,393
 - UrbanVN RP-22 | Tệp LTV: $50,807 | Bán ra: 221 cái | Lợi nhuận: $31,056
 - VietMode RP-08 | Tệp LTV: $51,181 | Bán ra: 110 cái | Lợi nhuận: $30,690
 - MekongFit RP-57 | Tệp LTV: $46,262 | Bán ra: 519 cái | Lợi nhuận: $28,805
 - DragonWear MA-42 | Tệp LTV: $42,876 | Bán ra: 38 cái | Lợi nhuận: $28,737
 - VietMode RP-76 | Tệp LTV: $60,455 | Bán ra: 47 cái | Lợi nhuận: $28,435
 - SaigonFlex UM-21 | Tệp LTV: $61,588 | Bán ra: 31 cái | Lợi nhuận: $27,802
 - VietMode RP-44 | Tệp LTV: $41,855 | Bán ra: 137 cái | Lợi nhuận: $25,381
 - PhoenixWear UE-21 | Tệp LTV: $49,831 | Bán ra: 118 cái | Lợi nhuận: $24,558
 - VietMode RS-67 | Tệp LTV: $65,715 | Bán ra: 35 cái | Lợi nhuận: $23,540
 - DragonWear RP-14 | Tệp LTV: $91,075 | Bán ra: 92 cái | Lợi nhuận: $23,106
 - VietMode RP-28 | Tệp LTV: $57,974 | Bán ra: 88 cái | Lợi nhuận: $21,570
 - VietMode RS-39 | Tệp LTV: $39,209 | Bán ra: 59 cái | Lợi nhuận: $20,730
 - VietMode UE-13 | Tệp LTV: $121,737 | Bán ra: 34 cái | Lợi nhuận: $20,700
 - VietMode MA-24 | Tệp LTV: $56,916 | Bán ra: 41 cái | Lợi nhuận: $19,055
 - VietMode RS-00 | Tệp LTV: $74,184 | Bán ra: 31 cái | Lợi nhuận: $18,535
 - VietMode RS-04 | Tệp LTV: $51,537 | Bán ra: 240 cái | Lợi nhuận: $18,507
 - VietMode RP-51 | Tệp LTV: $63,623 | Bán ra: 40 cái | Lợi nhuận: $17,968
 - VietMode RP-50 | Tệp LTV: $61,154 | Bán ra: 159 cái | Lợi nhuận: $15,821
 - SaigonCore RP-12 | Tệp LTV: $39,789 | Bán ra: 75 cái | Lợi nhuận: $14,768
 - VietMode RP-41 | Tệp LTV: $42,661 | Bán ra: 72 cái | Lợi nhuận: $14,206
 - BambooCraft UC-07 | Tệp LTV: $45,324 | Bán ra: 35 cái | Lợi nhuận: $12,091
 - VietMode RS-95 | Tệp LTV: $49,823 | Bán ra: 47 cái | Lợi nhuận: $10,741
 - VietMode RS-05 | Tệp LTV: $43,948 | Bán ra: 47 cái | Lợi nhuận: $10,494
 - SaigonCore YY-28 | Tệp LTV: $39,943 | Bán ra: 133 cái | Lợi nhuận: $10,286
 - LotusWear UE-73 | Tệp LTV: $43,305 | Bán ra: 42 cái | Lợi nhuận: $9,461
 - SaigonFlex UC-94 | Tệp LTV: $43,498 | Bán ra: 32 cái | Lợi nhuận: $9,313
 - VietMode MA-07 | Tệp LTV: $39,121 | Bán ra: 153 cái | Lợi nhuận: $6,189
 - HanoiStreet RS-06 | Tệp LTV: $40,180 | Bán ra: 111 cái | Lợi nhuận: $5,969
 - HanoiStreet YY-15 | Tệp LTV: $39,262 | Bán ra: 109 cái | Lợi nhuận: $5,864
 - VietMode RP-54 | Tệp LTV: $40,418 | Bán ra: 31 cái | Lợi nhuận: $4,489
 - VietMode RP-21 | Tệp LTV: $43,102 | Bán ra: 93 cái | Lợi nhuận: $3,588
 - VietMode MA-40 | Tệp LTV: $42,995 | Bán ra: 136 cái | Lợi nhuận: $3,236
 - UrbanVN RS-04 | Tệp LTV: $44,277 | Bán ra: 63 cái | Lợi nhuận: $3,138
 - DragonWear RP-22 | Tệp LTV: $41,670 | Bán ra: 52 cái | Lợi nhuận: $1,634
 - DragonWear RP-11 | Tệp LTV: $60,026 | Bán ra: 39 cái | Lợi nhuận: $1,131
 - PhoenixWear UE-02 | Tệp LTV: $42,522 | Bán ra: 195 cái | Lợi nhuận: $-441
 - BambooCraft UC-22 | Tệp LTV: $50,152 | Bán ra: 94 cái | Lợi nhuận: $-2,283
 - MekongFit RS-10 | Tệp LTV: $44,165 | Bán ra: 49 cái | Lợi nhuận: $-2,829
 - VietMode RP-70 | Tệp LTV: $46,623 | Bán ra: 42 cái | Lợi nhuận: $-6,541
 - DragonWear RP-18 | Tệp LTV: $43,533 | Bán ra: 59 cái | Lợi nhuận: $-11,691
 - HanoiStreet UM-21 | Tệp LTV: $42,883 | Bán ra: 52 cái | Lợi nhuận: $-12,524
 - VietMode RP-73 | Tệp LTV: $43,570 | Bán ra: 100 cái | Lợi nhuận: $-12,848
 - SaigonFlex UC-73 | Tệp LTV: $58,064 | Bán ra: 211 cái | Lợi nhuận: $-14,061
 - SaigonCore YY-26 | Tệp LTV: $39,749 | Bán ra: 447 cái | Lợi nhuận: $-15,395
 - VietMode RP-43 | Tệp LTV: $45,522 | Bán ra: 278 cái | Lợi nhuận: $-16,785
 - VietMode RP-03 | Tệp LTV: $68,600 | Bán ra: 280 cái | Lợi nhuận: $-18,297
 - PhoenixWear UM-10 | Tệp LTV: $46,011 | Bán ra: 122 cái | Lợi nhuận: $-22,117
 - SaigonCore UM-01 | Tệp LTV: $40,366 | Bán ra: 144 cái | Lợi nhuận: $-22,533
 - MekongFit UC-09 | Tệp LTV: $43,793 | Bán ra: 53 cái | Lợi nhuận: $-22,825
 - NamStyle YY-17 | Tệp LTV: $45,402 | Bán ra: 109 cái | Lợi nhuận: $-24,626
 - VietMode RP-16 | Tệp LTV: $41,117 | Bán ra: 60 cái | Lợi nhuận: $-25,153
 - SaigonFlex UM-47 | Tệp LTV: $59,975 | Bán ra: 64 cái | Lợi nhuận: $-25,469
 - VietMode RP-06 | Tệp LTV: $68,216 | Bán ra: 166 cái | Lợi nhuận: $-26,522
 - DragonWear RP-21 | Tệp LTV: $53,078 | Bán ra: 51 cái | Lợi nhuận: $-26,861
 - PhoenixWear UM-08 | Tệp LTV: $51,272 | Bán ra: 98 cái | Lợi nhuận: $-26,879
 - SaigonCore UE-25 | Tệp LTV: $46,592 | Bán ra: 170 cái | Lợi nhuận: $-27,443
 - HanoiStreet UC-38 | Tệp LTV: $53,687 | Bán ra: 93 cái | Lợi nhuận: $-27,661
 - DragonWear MA-38 | Tệp LTV: $46,301 | Bán ra: 197 cái | Lợi nhuận: $-29,162
 - DragonWear UC-03 | Tệp LTV: $57,087 | Bán ra: 39 cái | Lợi nhuận: $-29,233
 - LotusWear UE-03 | Tệp LTV: $41,014 | Bán ra: 83 cái | Lợi nhuận: $-30,929
 - VietMode MP-03 | Tệp LTV: $45,340 | Bán ra: 62 cái | Lợi nhuận: $-31,274
 - LotusWear UR-30 | Tệp LTV: $47,249 | Bán ra: 110 cái | Lợi nhuận: $-34,114
 - VietMode RS-22 | Tệp LTV: $54,008 | Bán ra: 204 cái | Lợi nhuận: $-34,504
 - SaigonFlex UC-75 | Tệp LTV: $39,289 | Bán ra: 85 cái | Lợi nhuận: $-37,369
 - DragonWear MA-43 | Tệp LTV: $42,796 | Bán ra: 89 cái | Lợi nhuận: $-37,941
 - VietMode RP-94 | Tệp LTV: $51,262 | Bán ra: 164 cái | Lợi nhuận: $-39,652
 - VietMode UE-08 | Tệp LTV: $49,680 | Bán ra: 68 cái | Lợi nhuận: $-39,845
 - VietMode RP-61 | Tệp LTV: $45,582 | Bán ra: 127 cái | Lợi nhuận: $-41,390
 - VietMode RP-00 | Tệp LTV: $46,043 | Bán ra: 389 cái | Lợi nhuận: $-42,782
 - VietMode RS-78 | Tệp LTV: $39,904 | Bán ra: 497 cái | Lợi nhuận: $-43,178
 - VietMode RS-45 | Tệp LTV: $44,489 | Bán ra: 277 cái | Lợi nhuận: $-45,177
 - DragonWear MA-40 | Tệp LTV: $45,518 | Bán ra: 75 cái | Lợi nhuận: $-45,656
 - DragonWear UR-26 | Tệp LTV: $64,757 | Bán ra: 51 cái | Lợi nhuận: $-46,072
 - DragonWear RP-10 | Tệp LTV: $39,712 | Bán ra: 75 cái | Lợi nhuận: $-47,109
 - VietMode RS-34 | Tệp LTV: $51,164 | Bán ra: 189 cái | Lợi nhuận: $-47,220
 - HanoiStreet UE-46 | Tệp LTV: $49,023 | Bán ra: 129 cái | Lợi nhuận: $-48,766
 - VietMode RP-97 | Tệp LTV: $56,058 | Bán ra: 163 cái | Lợi nhuận: $-51,840
 - VietMode RP-32 | Tệp LTV: $51,918 | Bán ra: 263 cái | Lợi nhuận: $-59,314
 - DragonWear UR-07 | Tệp LTV: $51,119 | Bán ra: 239 cái | Lợi nhuận: $-61,481
 - SaigonCore YY-16 | Tệp LTV: $40,280 | Bán ra: 210 cái | Lợi nhuận: $-62,568
 - VietMode RS-46 | Tệp LTV: $64,767 | Bán ra: 63 cái | Lợi nhuận: $-66,321
 - SaigonCore UE-03 | Tệp LTV: $55,866 | Bán ra: 128 cái | Lợi nhuận: $-70,755
 - HanoiStreet UC-43 | Tệp LTV: $43,994 | Bán ra: 436 cái | Lợi nhuận: $-82,883
 - VietMode RP-67 | Tệp LTV: $48,099 | Bán ra: 378 cái | Lợi nhuận: $-86,336
 - SaigonCore YY-50 | Tệp LTV: $40,732 | Bán ra: 455 cái | Lợi nhuận: $-86,543
 - VietMode UE-11 | Tệp LTV: $39,217 | Bán ra: 186 cái | Lợi nhuận: $-93,328
 - BambooCraft UC-02 | Tệp LTV: $41,808 | Bán ra: 221 cái | Lợi nhuận: $-103,218
 - MekongStyle UC-06 | Tệp LTV: $45,662 | Bán ra: 365 cái | Lợi nhuận: $-104,674
 - SaigonFlex UC-44 | Tệp LTV: $38,822 | Bán ra: 457 cái | Lợi nhuận: $-113,356
 - VietMode MA-08 | Tệp LTV: $51,015 | Bán ra: 183 cái | Lợi nhuận: $-115,145
 - HanoiStreet UE-25 | Tệp LTV: $39,648 | Bán ra: 279 cái | Lợi nhuận: $-119,741
 - LotusWear UC-03 | Tệp LTV: $42,037 | Bán ra: 268 cái | Lợi nhuận: $-131,098
 - VietMode RP-06 | Tệp LTV: $47,830 | Bán ra: 323 cái | Lợi nhuận: $-134,972
 - SaigonFlex UC-17 | Tệp LTV: $41,560 | Bán ra: 263 cái | Lợi nhuận: $-153,607
 - UrbanVN UR-37 | Tệp LTV: $40,655 | Bán ra: 363 cái | Lợi nhuận: $-184,965
 - VietMotion UM-08 | Tệp LTV: $50,009 | Bán ra: 246 cái | Lợi nhuận: $-187,318
 - VietMode RP-89 | Tệp LTV: $48,158 | Bán ra: 471 cái | Lợi nhuận: $-222,613
 - SaigonFlex UE-08 | Tệp LTV: $44,561 | Bán ra: 355 cái | Lợi nhuận: $-228,939
 - SaigonFlex UM-35 | Tệp LTV: $39,200 | Bán ra: 343 cái | Lợi nhuận: $-238,398
 - HanoiStreet UC-31 | Tệp LTV: $42,116 | Bán ra: 289 cái | Lợi nhuận: $-253,106
 - LotusWear UE-43 | Tệp LTV: $41,023 | Bán ra: 511 cái | Lợi nhuận: $-415,211
